Tempo,PosicaoX,PosicaoY
731,4568498.18,4993311.84
732,4562829.82,4998487.11
733,4557155.58,5003655.95
734,4551475.49,5008818.36
735,4545789.55,5013974.32
736,4540097.76,5019123.84
737,4534400.13,5024266.91
738,4528696.68,5029403.52
739,4522987.40,5034533.65
740,4517272.30,5039657.32
741,4511551.40,5044774.51
742,4505824.70,5049885.21
743,4500092.20,5054989.41
744,4494353.92,5060087.12
745,4488609.85,5065178.32
746,4482860.02,5070263.00
747,4477104.42,5075341.17
748,4471343.07,5080412.81
749,4465575.96,5085477.92
750,4459803.12,5090536.49
751,4454024.54,5095588.52
752,4448240.23,5100633.99
753,4442450.20,5105672.91
754,4436654.46,5110705.26
755,4430853.02,5115731.03
756,4425045.88,5120750.23
757,4419233.04,5125762.85
758,4413414.53,5130768.87
759,4407590.34,5135768.30
760,4401760.48,5140761.13
761,4395924.97,5145747.34
762,4390083.80,5150726.94
763,4384236.99,5155699.91
764,4378384.54,5160666.25
765,4372526.45,5165625.96
766,4366662.75,5170579.03
767,4360793.43,5175525.45
768,4354918.51,5180465.21
769,4349037.98,5185398.31
770,4343151.87,5190324.75
771,4337260.16,5195244.51
772,4331362.88,5200157.58
773,4325460.04,5205063.98
774,4319551.62,5209963.68
775,4313637.66,5214856.68
776,4307718.15,5219742.97
777,4301793.10,5224622.56
778,4295862.51,5229495.42
779,4289926.41,5234361.56
780,4283984.78,5239220.97
781,4278037.65,5244073.64
782,4272085.02,5248919.57
783,4266126.89,5253758.75
784,4260163.28,5258591.18
785,4254194.19,5263416.84
786,4248219.63,5268235.73
787,4242239.61,5273047.85
788,4236254.13,5277853.19
789,4230263.21,5282651.75
790,4224266.84,5287443.50
791,4218265.04,5292228.47
792,4212257.82,5297006.62
793,4206245.19,5301777.96
794,4200227.14,5306542.49
795,4194203.69,5311300.19
796,4188174.85,5316051.07
797,4182140.62,5320795.10
798,4176101.02,5325532.30
799,4170056.04,5330262.64
800,4164005.71,5334986.14
801,4157950.02,5339702.77
802,4151888.98,5344412.53
803,4145822.60,5349115.43
804,4139750.89,5353811.44
805,4133673.86,5358500.57
806,4127591.51,5363182.81
807,4121503.86,5367858.15
808,4115410.90,5372526.59
809,4109312.65,5377188.12
810,4103209.12,5381842.74
811,4097100.31,5386490.43
812,4090986.24,5391131.20
813,4084866.90,5395765.04
814,4078742.31,5400391.94
815,4072612.47,5405011.89
816,4066477.40,5409624.89
817,4060337.10,5414230.94
818,4054191.58,5418830.02
819,4048040.84,5423422.14
820,4041884.90,5428007.28
821,4035723.76,5432585.44
822,4029557.43,5437156.61
823,4023385.92,5441720.80
824,4017209.23,5446277.98
825,4011027.38,5450828.16
826,4004840.37,5455371.33
827,3998648.21,5459907.49
828,3992450.91,5464436.62
829,3986248.47,5468958.73
830,3980040.91,5473473.81
831,3973828.23,5477981.84
832,3967610.44,5482482.83
833,3961387.54,5486976.78
834,3955159.56,5491463.66
835,3948926.48,5495943.48
836,3942688.33,5500416.24
837,3936445.11,5504881.92
838,3930196.83,5509340.52
839,3923943.49,5513792.04
